section_code,land_number,county_norm,land_section_name
0001,0031-0002,苗栗縣,大湖段
0001,0116-0000,苗栗縣,大湖段
0001,0208-0021,苗栗縣,大湖
0001,0208-0039,苗栗縣,大湖段
0001,0208-0093,苗栗縣,大湖
0001,0208-0109,苗栗縣,大湖段
0001,0208-0143,苗栗縣,大湖段
0001,0208-0145,苗栗縣,大湖段
0001,0208-0167,苗栗縣,大湖段
0001,0208-0391,苗栗縣,大湖段
0001,0209-0004,苗栗縣,大湖段
0001,0431-0000,苗栗縣,大湖段
0001,0436-0000,苗栗縣,大湖段
0001,0442-0000,苗栗縣,大湖段
0001,0445-0001,苗栗縣,大湖段
0001,0445-0002,苗栗縣,大湖段
0001,0446-0003,苗栗縣,大湖段
0001,0448-0015,苗栗縣,大湖段
0001,0448-0032,苗栗縣,大湖段
0001,0450-0002,苗栗縣,大湖段
0001,0493-0028,苗栗縣,大湖段
0001,0494-0002,苗栗縣,大湖段
0001,0494-0013,苗栗縣,大湖段
0001,0501-0005,苗栗縣,大湖段
0001,0501-0012,苗栗縣,大湖段
0001,0501-0021,苗栗縣,大湖段
0001,0501-0069,苗栗縣,大湖段
0001,0508-0000,苗栗縣,大湖段
0001,0539-0002,苗栗縣,大湖段
0001,0689-0006,苗栗縣,大湖段
0001,0689-0176,苗栗縣,大湖段
0001,0689-0366,苗栗縣,大湖段
0001,0689-0563,苗栗縣,大湖段
0001,0689-0969,苗栗縣,大湖段
0001,0689-1140,苗栗縣,大湖段
0001,0689-1156,苗栗縣,大湖段
0001,0730-0002,苗栗縣,大湖段
0001,0730-0003,苗栗縣,大湖段
0001,0731-0001,苗栗縣,大湖段
0001,0762-0157,苗栗縣,大湖段
0001,0762-0170,苗栗縣,大湖段
0001,0762-0561,苗栗縣,大湖段
0001,0762-0562,苗栗縣,大湖段
0001,0762-1314,苗栗縣,大湖段
0001,0780-0000,苗栗縣,大湖
0001,0812-0000,苗栗縣,大湖段
0001,0812-0010,苗栗縣,大湖段
0001,0812-0011,苗栗縣,大湖段
0001,0812-0038,苗栗縣,大湖段
0001,0812-0039,苗栗縣,大湖段
0001,0812-0040,苗栗縣,大湖段
0001,0812-0041,苗栗縣,大湖段
0001,0812-0042,苗栗縣,大湖段
0001,0812-0103,苗栗縣,大湖段
0001,0812-0104,苗栗縣,大湖段
0001,0812-0105,苗栗縣,大湖段
0001,0812-0109,苗栗縣,大湖段
0001,0812-0110,苗栗縣,大湖段
0001,0812-0111,苗栗縣,大湖段
0001,0812-0112,苗栗縣,大湖段
0001,0830-0000,苗栗縣,大湖段
0001,0830-0013,苗栗縣,大湖段
0001,0831-0000,苗栗縣,大湖段
0001,0997-0029,苗栗縣,大湖段
0001,1063-0033,苗栗縣,大湖段
0001,1063-0047,苗栗縣,大湖段
0001,1063-0050,苗栗縣,大湖段
0001,1063-0051,苗栗縣,大湖段
0001,1090-0001,苗栗縣,大湖段
0001,1090-0005,苗栗縣,大湖段
0001,1092-0000,苗栗縣,大湖段
0001,1095-0001,苗栗縣,大湖段
0001,1095-0007,苗栗縣,大湖段
0001,1107-0000,苗栗縣,大湖段
0001,1112-0000,苗栗縣,大湖段
0001,1139-0000,苗栗縣,大湖段
0001,1151-0000,苗栗縣,大湖段
0001,1155-0001,苗栗縣,大湖段
0001,1186-0000,苗栗縣,大湖段
0001,1276-0000,苗栗縣,大湖段
0001,1282-0000,苗栗縣,大湖段
0001,1282-0001,苗栗縣,大湖段
0001,1366-0000,苗栗縣,大湖段
0001,1368-0000,苗栗縣,大湖段
0001,1424-0000,苗栗縣,大湖段
0001,1446-0002,苗栗縣,大湖段
0001,1451-0000,苗栗縣,大湖段
0001,1476-0000,苗栗縣,大湖段
0001,1519-0000,苗栗縣,大湖段
0001,1537-0001,苗栗縣,大湖
0001,1668-0000,苗栗縣,大湖段
0001,1679-0000,苗栗縣,大湖段
0001,1705-0000,苗栗縣,大湖段
0001,1754-0000,苗栗縣,大湖段
0001,1755-0000,苗栗縣,大湖段
0001,1756-0000,苗栗縣,大湖段
0001,1778-0000,苗栗縣,大湖段
0001,1779-0001,苗栗縣,大湖段
0001,1781-0000,苗栗縣,大湖段
0001,1782-0000,苗栗縣,大湖段
0001,1796-0000,苗栗縣,大湖段
0001,1797-0000,苗栗縣,大湖段
0001,1797-0006,苗栗縣,大湖段
0001,1806-0000,苗栗縣,大湖段
0001,1878-0000,苗栗縣,大湖段
0001,1914-0000,苗栗縣,大湖段
0001,1916-0001,苗栗縣,大湖段
0001,1916-0003,苗栗縣,大湖段
0001,1916-0004,苗栗縣,大湖段
0001,1933-0000,苗栗縣,大湖段
