section_id,land_section_name
1,永昌段一小段
2,永昌段二小段
3,永昌段三小段
4,永昌段四小段
5,永昌段五小段
6,永昌段六小段
7,青年段一小段
8,青年段二小段
9,河堤段一小段
10,河堤段二小段
11,河堤段三小段
12,河堤段四小段
13,河堤段五小段
14,河堤段六小段
15,南海段一小段
16,南海段二小段
17,南海段三小段
18,南海段四小段
19,南海段五小段
20,福和段一小段
21,福和段二小段
22,龍泉段一小段
23,龍泉段二小段
24,龍泉段三小段
25,水源段
26,景美段一小段
27,景美段二小段
28,景美段三小段
29,景美段四小段
30,景美段五小段
31,萬慶段一小段
32,萬慶段二小段
33,萬慶段三小段
34,萬隆段一小段
35,萬隆段二小段
36,興隆段一小段
37,興隆段二小段
38,興隆段三小段
39,興隆段四小段
40,興安段一小段
41,興安段二小段
42,興安段三小段
43,興安段四小段
44,興福段
45,木新段三小段
46,華興段一小段
47,華興段二小段
48,華興段三小段
49,華興段四小段
50,實踐段一小段
51,實踐段二小段
52,實踐段三小段
53,坡內坑段福德坑小段
54,坡內坑段象頭埔小段
55,坡內坑段密婆坑小段
56,坡內坑段石壁坑小段
57,坡內坑段灰窯坑小段
58,坡內坑段大竹林小段
59,坡內坑段軍功坑小段
60,坡內坑段抱子腳小段
61,坡內坑段頭廷魁小段
62,坡內坑段坡內坑小段
63,坡內坑段新興小段
64,坡內坑段小坑小段
65,坡內坑段猴山坑小段
66,坡內坑段魚衡子小段
67,坡內坑段抱子腳坑小段
68,內湖段草湳小段
69,內湖段岐山小段
70,內湖段貓空小段
71,內湖段芋子園坑小段
72,內湖段石坡坑小段
73,內湖段吊硞坑小段
74,內湖段石獅腳小段
75,內湖段樟湖小段
76,內湖段新厝小段
77,內湖段港墘小段
78,內湖段樟腳小段
79,內湖段溝子口小段
80,內湖段蕃子公館小段
81,內湖段炮子林小段
82,內湖段渡船頭小段
83,內湖段待老坑小段
84,內湖段阿泉坑小段
85,內湖段打鐵寮小段
86,內湖段中崙尾小段
87,內湖段下崙尾小段
88,內湖段木柵小段
89,內湖段馬明潭小段
90,內湖段石碣頭小段
91,內湖段埤腹小段
92,萬芳段一小段
93,萬芳段二小段
94,萬芳段三小段
