"LANDUSE","LANDDETATIS","說明"
"","EA","甲種建築用地"
"","EB","乙種建築用地"
"","EC","丙種建築用地"
"","ED","丁種建築用地"
"","EE","農牧用地"
"","EF","礦業用地"
"","EG","交通用地"
"","EH","水利用地"
"","EJ","遊憩用地"
"","EN","墳墓用地"
"","EP","特定目的事業用地"
"","EQ","鹽業用地"
"","ER","窯業用地"
"","ES","林業用地"
"","ET","養殖用地"
"","EU","海域用地"
"","EZ","暫未編訂"
"","EK","古蹟保存用地"
"","EL","生態保護用地"
"","EM","國土保安用地"
"AA","","特定農業區"
"AB","","一般農業區"
"AC","","鄉村區"
"AD","","工業區"
"AE","","森林區"
"AF","","山坡地保育區"
"AG","","風景區"
"AH","","特定專用區"
"AJ","","國家公園區"
"AK","","河川區"
"BA","","住宅區"
"BB","","商業區"
"BC","","行政區"
"BD","","工業區"
"BE","","文教區"
"BF","","農業區"
"BG","","風景區"
"BH","","保護區"
"BJ","","水岸發展區"
"BK","","漁業區"
"BL","","倉儲區"
"BM","","保存區"
"BN","","葬儀業區"
"BP","","特定專用區"
"BZ","","其他使用區"
"CA","","道路"
"CB","","公園"
"CC","","綠地"
"CD","","廣場"
"CE","","兒童遊樂場"
"CF","","民用航空站"
"CG","","停車場"
"CH","","河道"
"CJ","","港埠"
"CK","","學校"
"CL","","社教機構"
"CM","","體育場"
"CN","","市場"
"CP","","醫療衛生設備"
"CQ","","機關"
"CR","","公用事業"
"CS","","綠帶"
"CT","","加油站"
"CZ","","其他公共設施"
"DA","","道路保留地"
"DB","","公園保留地"
"DC","","綠地保留地"
"DD","","廣場保留地"
"DE","","兒童遊樂場保留地"
"DF","","民用航空站保留地"
"DG","","停車場保留地"
"DH","","河道保留地"
"DJ","","港埠保留地"
"DK","","學校保留地"
"DL","","社教機構保留地"
"DM","","體育場保留地"
"DN","","市場保留地"
"DP","","醫療衛生機構保留地"
"DQ","","機關保留地"
"DR","","公共事業保留地"
"DS","","綠帶保留地"
"DT","","加油站保留地"
"DZ","","其他保留地"
"ZZ","","其他（含空白）"
